,min_20,NOT_min_20,min_35,NOT_min_35,min_50,NOT_min_50,min_65,NOT_min_65,glad_yes,NOT_glad_yes,All
cop_all,71,17,50,38,29,59,12,76,11,77,88.0
NOT_cop_all,783,751,487,1047,269,1265,60,1474,62,1472,1534.0
cop_damaged_or_destroyed,31,8,27,12,19,20,10,29,8,31,39.0
NOT_cop_damaged_or_destroyed,823,760,510,1073,279,1304,62,1521,65,1518,1583.0
All,854.0,768.0,537.0,1085.0,298.0,1324.0,72.0,1550.0,73.0,1549.0,1622.0
