# id,beta
0,3.78506
1,3.78506
2,2.36301
3,3.78506
4,3.78506
5,3.78506
6,2.36301
7,3.78506
8,3.78506
9,2.36301
10,3.78506
11,2.36301
12,2.26574
13,3.78506
14,2.36301
15,2.36301
16,2.26574
17,2.26727
18,3.78506
19,2.30246
20,2.36301
21,3.78506
22,2.26727
23,3.78506
24,3.78506
25,3.78506
26,3.78506
27,3.78506
28,3.78506
29,3.78506
30,2.35579
31,2.35579
32,2.35579
33,2.29417
34,2.29417
35,2.35579
36,2.35579
37,3.76518
38,3.76518
39,2.35579
40,2.35579
41,2.35579
42,2.35579
43,2.35579
44,2.35579
45,2.35579
46,2.29417
47,3.73809
48,1.10504
49,3.76518
50,2.29661
51,0.88335
52,2.34655
53,2.27661
54,2.34655
55,2.16051
56,2.29638
57,2.29638
58,2.24478
59,2.34655
60,3.73930
61,3.73930
62,2.34655
63,3.73930
64,2.34655
65,1.14994
66,3.56668
67,3.56668
68,1.82131
69,3.55013
70,3.56668
71,3.56668
72,3.50909
73,3.56668
74,1.01590
75,3.56668
76,3.56668
77,3.56668
78,3.54790
79,3.56668
80,3.54790
81,3.55013
82,3.56668
83,3.56668
84,3.56668
85,1.20792
86,3.52347
87,3.52347
88,3.52347
89,3.52347
90,1.18515
91,3.52347
92,3.52347
93,3.52347
94,3.52347
95,3.52347
96,1.70195
97,3.52347
98,3.52347
99,3.52347
100,3.52347
101,3.52347
102,3.52347
103,3.52347
104,3.52347
105,1.78994
106,3.47859
107,1.40860
108,3.38215
109,3.47859
110,3.47859
111,1.11256
112,1.35310
113,3.41759
114,1.81452
115,3.42587
116,3.47859
117,3.47859
118,3.47859
119,3.47859
120,3.47859
121,3.47041
122,3.47859
123,3.47859
124,3.47859
125,3.47859
126,3.47859
127,1.81452
128,3.47859
129,3.47859
130,3.47859
131,1.81452
132,3.38929
133,3.38929
134,3.38929
135,3.30815
136,3.38929
137,3.38929
138,3.33860
139,1.20404
140,3.38929
141,3.33860
142,3.38929
143,3.38929
144,3.38929
145,3.38929
146,3.38929
147,3.38929
148,3.38929
149,3.38929
150,3.38929
151,3.43728
152,3.43728
153,3.43728
154,3.43728
155,3.43728
156,3.43728
157,3.43728
158,3.43728
159,3.43728
160,3.35574
161,3.35574
162,3.09964
163,3.09964
164,3.67420
165,3.67420
166,3.67420
167,3.67420
168,3.67420
169,1.28223
170,3.67420
171,3.67420
172,1.28223
173,3.67420
174,3.67420
175,3.67420
176,3.65971
177,3.65971
178,3.67420
179,1.38820
180,3.67420
181,3.67420
182,2.02086
183,3.06885
184,1.97180
185,1.94534
186,2.02086
187,2.02086
188,3.09964
189,1.14602
190,1.94534
191,3.71821
192,3.71821
193,1.55415
194,3.71821
195,3.76518
196,3.76518
197,3.71569
198,3.71569
199,3.71569
200,3.71569
201,2.28130
202,2.28130
203,1.15993
204,2.17476
205,2.28130
206,3.70747
