,project_id,group_id,user_id,task_id,timestamp,start_time,end_time,result
0,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309499-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
1,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309499-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
2,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309499-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
3,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309498-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
4,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309498-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,1
5,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309498-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
6,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309497-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
7,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309497-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
8,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309497-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
9,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309496-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,2
10,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309496-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
11,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309496-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
12,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309495-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
13,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309495-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,2
14,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309495-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
15,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309494-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
16,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309494-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
17,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309494-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
18,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309493-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
19,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309493-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
20,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309493-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
21,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309492-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
22,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309492-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
23,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309492-470375,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
24,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309491-470377,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
25,-MupztNOQu1l60QmSvY6,g109,osm:12485,20-309491-470376,2022-02-18 10:25:06.825,2022-02-18 10:22:07.696,2022-02-18 10:25:06.825,0
26,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309483-470369,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
27,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309482-470371,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
28,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309482-470370,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
29,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309482-470369,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
30,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309481-470371,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
31,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309481-470370,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
32,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309481-470369,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
33,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309480-470371,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
34,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309480-470370,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,1
35,-MupztNOQu1l60QmSvY6,g105,osm:12485,20-309480-470369,2022-02-18 10:20:16.425,2022-02-18 10:17:23.434,2022-02-18 10:20:16.425,0
