# id,beta
0,3.81808
1,3.81808
2,3.33460
3,3.81808
4,3.81808
5,3.81808
6,3.33460
7,3.81808
8,3.81808
9,3.33460
10,3.81808
11,3.33460
12,1.67441
13,3.81808
14,3.33460
15,3.33460
16,1.67441
17,1.65275
18,3.81808
19,1.48596
20,3.33460
21,3.81808
22,1.65275
23,3.81808
24,3.81808
25,3.81808
26,3.81808
27,3.81808
28,3.81808
29,3.81808
30,3.55781
31,3.55781
32,3.55781
33,1.79448
34,1.79448
35,3.55781
36,3.55781
37,4.09484
38,4.09484
39,3.55781
40,3.55781
41,3.55781
42,3.55781
43,3.55781
44,3.55781
45,3.55781
46,3.55781
47,3.55781
48,1.79448
49,1.86900
50,1.08416
51,3.55781
52,3.55781
53,1.79878
54,3.55781
55,4.09484
56,1.79878
57,0.66332
58,3.34729
59,3.34729
60,1.44861
61,3.34729
62,0.79432
63,1.72750
64,1.72750
65,3.34729
66,1.11997
67,3.34729
68,3.34729
69,3.82289
70,3.82289
71,3.34729
72,3.82289
73,3.34729
74,1.16335
75,0.95645
76,1.45603
77,4.35325
78,4.35325
79,2.15658
80,1.80485
81,4.35325
82,1.45603
83,2.41510
84,4.35325
85,1.85525
86,4.35325
87,0.80818
88,1.49230
89,2.41510
90,4.35325
91,4.35325
92,4.35325
93,1.79701
94,1.05394
95,4.35325
96,1.79701
97,1.80485
98,1.66800
99,4.35325
100,4.35325
101,1.66800
102,4.35325
103,1.66800
104,2.47773
105,4.13454
106,4.13454
107,2.47773
108,4.13454
109,4.13454
110,1.41733
111,1.52025
112,4.13454
113,4.13454
114,4.13454
115,2.47773
116,4.13454
117,4.13454
118,1.52025
119,4.13454
120,4.13454
121,4.13454
122,4.13454
123,4.13454
124,4.13454
125,4.13454
126,4.13454
127,2.47773
128,1.52274
129,4.09331
130,1.79026
131,1.19775
132,4.09331
133,4.09331
134,1.31777
135,1.50669
136,0.60127
137,2.45949
138,1.14505
139,4.09331
140,4.09331
141,4.09331
142,4.09331
143,2.45949
144,2.45949
145,4.09331
146,1.29394
147,4.09331
148,4.09331
149,4.09331
150,4.09331
151,2.45949
152,4.09331
153,2.45949
154,4.09331
155,4.09331
156,4.09331
157,2.45949
158,4.12937
159,4.12937
160,4.12937
161,1.35282
162,4.12937
163,4.12937
164,2.31573
165,1.18303
166,4.12937
167,2.31573
168,4.12937
169,0.91855
170,4.12937
171,4.12937
172,4.12937
173,4.12937
174,4.12937
175,4.12937
176,4.12937
177,4.12937
178,4.11526
179,4.11526
180,4.11526
181,4.11526
182,4.11526
183,0.98872
184,4.11526
185,4.11526
186,4.11526
187,4.11526
188,2.14413
189,2.14413
190,2.41295
191,2.41295
192,3.83379
193,3.83379
194,3.83379
195,3.83379
196,3.83379
197,0.79314
198,1.31629
199,3.83379
200,3.83379
201,1.31629
202,3.83379
203,3.83379
204,3.83379
205,1.46544
206,1.46544
207,3.83379
208,1.38436
209,3.83379
210,3.83379
211,2.41295
212,1.32271
213,1.32271
214,1.29663
215,2.41295
216,2.41295
217,2.41295
218,1.32271
219,1.29663
220,4.49552
221,4.49552
222,2.19937
223,4.49552
224,4.09484
225,4.09484
226,3.13716
227,1.06443
228,3.13716
229,3.60059
230,3.60059
231,3.60059
232,3.60059
233,3.13716
234,3.13716
235,3.13716
236,3.13716
237,1.06392
238,1.60095
239,3.13716
240,1.06392
241,1.41872
242,1.06392
243,0.73970
244,3.60059
245,3.13716
246,1.60095
247,3.13716
248,1.60095
249,1.60095
250,3.60059
251,1.65104
252,3.13716
253,1.60095
254,3.13716
255,1.35106
256,3.96239
257,3.96239
258,0.70798
259,3.96239
260,3.96239
261,3.96239
262,3.96239
263,3.96239
264,3.45391
265,3.45391
266,3.45391
267,1.99719
268,1.99719
269,1.23902
270,0.82298
271,3.96239
272,1.92171
273,0.80103
274,3.45391
275,1.20224
276,3.45391
277,1.24895
278,1.92171
279,3.96239
280,3.96239
281,3.96239
282,3.96239
283,1.21392
284,3.96239
285,3.96239
286,1.33705
287,4.22506
288,4.22506
289,4.22506
290,4.22506
291,2.15484
292,1.13473
293,3.62725
294,4.22506
295,1.69385
296,3.62725
297,3.62725
298,2.26645
299,1.61586
300,2.26645
301,1.33705
302,4.22506
303,0.83529
304,2.15484
305,1.30435
306,2.26645
307,2.26645
308,0.83529
309,4.22506
310,1.49743
311,1.33705
312,1.25670
313,1.42546
314,1.49743
315,1.25670
316,1.11601
317,3.80809
318,3.80809
319,3.28586
320,3.80809
321,3.80809
322,3.80809
323,3.80809
324,1.13739
325,3.28586
326,3.80809
327,3.28586
328,1.43178
329,0.66312
330,0.72088
331,1.11601
332,3.80809
333,3.80809
334,3.80809
335,3.80809
336,3.80809
337,3.80809
338,1.89799
339,0.66195
340,1.12416
341,3.80809
342,3.80809
343,3.28586
344,1.89799
345,3.28586
346,3.82289
347,3.82289
348,3.82289
349,3.82289
350,3.82289
351,1.53024
352,1.78623
353,1.78623
354,1.49583
355,3.82289
356,3.82289
357,3.34729
358,3.34729
359,3.34729
360,4.49552
361,1.00114
362,4.49552
363,4.49552
364,4.49552
365,4.49552
366,4.49552
367,2.19937
368,4.49552
369,4.49552
370,4.49552
371,2.19937
372,2.68007
373,4.49552
374,4.49552
375,4.49552
376,2.68007
377,2.19937
378,4.49552
379,2.19937
380,1.29329
381,1.26445
382,1.41260
383,2.19937
384,0.88245
385,1.80215
386,2.39025
387,2.39025
388,3.85850
389,3.85850
390,2.39025
391,3.85850
392,2.39025
393,2.39025
394,3.85850
395,2.39025
396,2.39025
397,1.13674
398,3.85850
399,2.39025
400,2.39025
401,1.00659
402,1.09873
403,3.85850
404,1.33545
405,3.85850
406,1.30279
407,0.93689
408,2.39025
409,3.85850
410,3.85850
411,1.33545
412,2.39025
413,3.85850
414,3.85850
415,3.85850
416,1.81850
417,3.93175
418,1.45100
419,1.81850
420,3.93175
421,3.93175
422,1.25739
423,3.93175
424,3.93175
425,3.93175
426,1.45100
427,3.93175
428,3.93175
429,3.93175
430,3.93175
431,1.45100
432,1.81850
433,0.84410
434,3.32511
435,3.32511
436,1.43261
437,3.32511
438,1.19486
439,3.32511
440,3.32511
441,3.32511
442,3.32511
443,3.32511
444,3.32511
445,4.15577
446,4.15577
447,4.15577
448,4.15577
449,4.15577
450,4.15577
451,4.15577
452,0.74935
453,1.76967
454,4.15577
455,0.77187
456,0.89446
457,4.15577
458,2.41264
459,2.41264
460,4.15577
461,1.90977
462,1.76153
463,4.15577
464,1.76153
465,1.76967
466,4.15577
467,2.41264
468,4.15577
469,2.41264
470,4.15577
471,0.69563
472,1.43025
473,0.64535
474,0.70094
475,3.62548
476,1.78802
477,3.62548
478,3.62548
479,0.72053
480,3.13716
481,3.96395
482,3.96395
483,3.96395
484,1.40277
485,2.10251
486,3.96395
487,3.96395
488,3.96395
489,3.96395
490,3.96395
491,3.96395
492,3.96395
493,3.96395
494,3.96395
495,1.30596
496,3.96395
497,3.96395
498,3.96395
499,1.35106
500,1.06215
501,3.96395
502,2.10251
503,1.02666
504,2.10251
505,2.10251
506,2.10251
507,3.96395
508,1.23524
509,1.23524
510,4.12937
511,4.12937
512,4.12937
513,1.46958
514,1.00901
515,2.31573
516,4.12937
517,4.12937
518,1.93495
519,1.93495
520,2.84442
521,0.66708
522,4.13831
523,0.58271
524,1.61046
525,2.84442
526,2.84442
527,4.13831
528,2.84442
529,2.84442
530,2.84442
531,4.13831
532,1.50217
533,4.13831
534,4.13831
535,4.13831
536,4.13831
537,4.13831
538,4.13831
539,4.13831
540,4.13831
541,4.13831
542,2.84442
543,0.60637
544,1.63830
545,2.84442
546,1.08029
547,4.13831
548,1.63830
549,1.64562
550,3.43341
551,3.43341
552,3.43341
553,3.43341
554,3.43341
555,1.08322
556,3.43341
557,3.43341
558,3.43341
559,0.87929
560,3.43341
561,3.43341
562,3.43341
563,3.43341
564,3.43341
565,3.43341
566,3.43341
567,3.43341
568,4.63333
569,2.39380
570,2.89952
571,4.63333
572,4.63333
573,0.88104
574,4.63333
575,1.60060
576,0.66049
577,4.63333
578,1.30226
579,0.79705
580,0.64541
581,4.63333
582,4.63333
583,0.64541
584,0.94042
585,0.64541
586,4.63333
587,1.99299
588,2.89952
589,4.63333
590,2.89952
591,0.68391
592,3.47613
593,3.47613
594,3.47613
595,1.72024
596,3.47613
597,3.47613
598,3.47613
599,1.06209
600,0.61002
601,3.47613
602,3.47613
603,3.47613
604,4.77718
605,2.99706
606,4.77718
607,2.99706
608,4.77718
609,2.99706
610,4.77718
611,1.90121
612,4.77718
613,4.77718
614,4.77718
615,2.99706
616,2.26187
617,4.77718
618,4.77718
619,4.77718
620,4.77718
621,4.77718
622,2.26187
623,4.77718
624,4.77718
625,4.77718
626,2.26187
627,4.77718
628,4.77718
629,1.73404
630,4.77718
631,2.27348
632,1.52768
633,4.77718
634,4.38784
635,4.38784
636,2.23889
637,0.78412
638,4.38784
639,1.74287
640,4.38784
641,0.89691
642,4.38784
643,4.38784
644,4.38784
645,4.38784
646,1.27558
647,2.23889
648,2.35274
649,2.35274
650,2.35274
651,1.23455
652,3.20965
653,3.20965
654,3.20965
655,3.20965
656,3.20965
657,3.20965
658,3.20965
659,3.20965
660,3.20965
661,3.20965
662,0.63711
663,3.20965
664,3.20965
665,3.20965
666,3.20965
667,3.20965
668,1.43064
669,3.20965
670,3.20965
671,1.16339
672,3.20965
673,0.86613
674,1.16339
675,0.83386
676,3.20965
677,1.16339
678,0.88251
679,1.43064
680,1.00749
681,2.06267
682,4.28542
683,1.76314
684,4.28542
685,4.28542
686,4.28542
687,1.66775
688,2.27099
689,4.53794
690,4.53794
691,4.53794
692,4.53794
693,2.74238
694,1.38786
695,4.53794
696,2.27099
697,2.74238
698,4.53794
699,2.74238
700,4.53794
701,4.53794
702,1.88112
703,2.74238
704,4.53794
705,4.53794
706,1.48581
707,4.53794
708,2.74238
709,1.48581
710,2.74238
711,1.26877
712,1.66775
713,2.74238
714,1.01128
715,1.58792
716,4.17294
717,2.12595
718,4.17294
719,1.58792
720,4.17294
721,4.17294
722,4.17294
723,4.17294
724,4.17294
725,2.12595
726,0.79134
727,0.92614
728,4.17294
729,4.17294
730,0.59773
731,4.17294
732,1.28547
733,4.17294
734,4.17294
735,1.61089
736,1.01629
737,2.17263
738,2.17263
739,4.17294
740,4.17294
741,4.17294
742,2.17263
743,4.17294
744,3.35386
745,3.35386
746,3.35386
747,3.35386
748,3.35386
749,3.35386
750,3.35386
751,3.35386
752,3.35386
753,0.87788
754,3.35386
755,3.35386
756,3.35386
757,3.35386
758,3.35386
759,3.35386
760,3.35386
761,3.35386
762,3.35386
763,3.35386
764,3.35386
765,3.35386
766,3.35386
767,3.35386
768,3.35386
769,3.35386
770,3.35386
771,3.35386
772,1.25330
773,3.35386
774,4.11526
775,2.14413
776,4.11526
777,4.11526
778,4.11526
779,4.11526
780,2.14413
781,0.80213
782,4.11526
783,0.62912
784,2.02718
785,2.14413
786,2.14413
787,2.02718
788,1.00821
789,4.11526
790,4.11526
791,2.14413
792,3.43341
793,3.43341
794,3.43341
795,3.43341
796,3.43341
