project_id,group_id,user_id,task_id,timestamp,start_time,end_time,result
-MhK2rqJYEKpSGMy7nVs,g153,d3waEb15spOwyIHvSTuP6PY56WM2,19-154713-235177,2021-08-24 13:15:31.946,2021-08-24 13:12:31.227,2021-08-24 13:15:31.946,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154721-235187,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,2
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154720-235189,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154720-235188,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154720-235187,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154719-235189,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154719-235188,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154719-235187,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154718-235189,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,2
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154718-235188,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154718-235187,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154717-235189,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,2
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154717-235188,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,0
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154717-235187,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,0
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154716-235189,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154716-235188,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,0
-MhK2rqJYEKpSGMy7nVs,g173,d3waEb15spOwyIHvSTuP6PY56WM2,19-154716-235187,2021-08-24 12:55:47.37,2021-08-24 12:53:16.965,2021-08-24 12:55:47.37,1
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154719-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,1
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154719-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154719-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154718-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154718-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154718-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154717-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154717-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154717-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154716-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154716-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154716-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154715-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154715-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154715-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,1
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154714-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154714-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154714-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154713-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154713-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154713-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154712-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154712-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154712-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154711-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154711-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154711-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154710-235174,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,2
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154710-235173,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,0
-MhK2rqJYEKpSGMy7nVs,g148,FMUhUnEmKMPgZVm2d3Mz5OhPC0B3,19-154710-235172,2021-08-24 12:27:33.386,2021-08-24 12:22:31.443,2021-08-24 12:27:33.386,1
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154744-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,2
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154744-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154744-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154743-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,2
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154743-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154743-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154742-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,1
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154742-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,2
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154742-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154741-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154741-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154741-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,2
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154740-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154740-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154740-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,1
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154739-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154739-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154739-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154738-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154738-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154738-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154737-235171,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154737-235170,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,0
-MhK2rqJYEKpSGMy7nVs,g146,NOIP32ZA50adNEXcyuZmwjtqWb22,19-154737-235169,2021-08-24 12:18:29.075,2021-08-24 12:15:55.613,2021-08-24 12:18:29.075,1
-MhK2rqJYEKpSGMy7nVs,g155,iMzzSDTdGWdSENOtSnxx0j0wA9r1,19-154742-235177,2021-08-24 11:15:38.026,2021-08-24 11:12:21.706,2021-08-24 11:15:38.026,2
-MhK2rqJYEKpSGMy7nVs,g155,iMzzSDTdGWdSENOtSnxx0j0wA9r1,19-154742-235176,2021-08-24 11:15:38.026,2021-08-24 11:12:21.706,2021-08-24 11:15:38.026,0
-MhK2rqJYEKpSGMy7nVs,g155,iMzzSDTdGWdSENOtSnxx0j0wA9r1,19-154742-235175,2021-08-24 11:15:38.026,2021-08-24 11:12:21.706,2021-08-24 11:15:38.026,0
-MhK2rqJYEKpSGMy7nVs,g155,iMzzSDTdGWdSENOtSnxx0j0wA9r1,19-154741-235177,2021-08-24 11:15:38.026,2021-08-24 11:12:21.706,2021-08-24 11:15:38.026,0
